Time,Phrase,Site,Count
1490372083,CSE30341,http://www.example.com/,0
1490372083,Cub,http://www.example.com/,0
1490372083,Notre,http://www.example.com/,0
1490372083,Operating,http://www.example.com/,0
1490372083,Scouts,http://www.example.com/,0
1490372083,Striegel,http://www.example.com/,0
1490372083,Systems,http://www.example.com/,0
1490372083,Thain,http://www.example.com/,0
1490372083,CSE30341,http://www.cnn.com/,0
1490372083,Cub,http://www.cnn.com/,0
1490372083,Notre,http://www.cnn.com/,0
1490372083,Operating,http://www.cnn.com/,0
1490372083,Scouts,http://www.cnn.com/,0
1490372083,Striegel,http://www.cnn.com/,0
1490372083,Systems,http://www.cnn.com/,0
1490372083,Thain,http://www.cnn.com/,0
1490372085,CSE30341,https://www.nd.edu/,0
1490372085,Cub,https://www.nd.edu/,0
1490372085,Notre,https://www.nd.edu/,107
1490372085,Operating,https://www.nd.edu/,0
1490372085,Scouts,https://www.nd.edu/,0
1490372085,Striegel,https://www.nd.edu/,0
1490372085,Systems,https://www.nd.edu/,0
1490372085,Thain,https://www.nd.edu/,0
1490372085,CSE30341,https://www.yahoo.com/,0
1490372085,Cub,https://www.yahoo.com/,0
1490372085,Notre,https://www.yahoo.com/,5
1490372085,Operating,https://www.yahoo.com/,0
1490372085,Scouts,https://www.yahoo.com/,0
1490372085,Striegel,https://www.yahoo.com/,0
1490372085,Systems,https://www.yahoo.com/,0
1490372085,Thain,https://www.yahoo.com/,0
1490372085,CSE30341,http://www.espn.com/,0
1490372085,Cub,http://www.espn.com/,14
1490372085,Notre,http://www.espn.com/,3
1490372085,Operating,http://www.espn.com/,0
1490372085,Scouts,http://www.espn.com/,0
1490372085,Striegel,http://www.espn.com/,0
1490372085,Systems,http://www.espn.com/,0
1490372085,Thain,http://www.espn.com/,0
1490372085,CSE30341,https://www.aol.com/,0
1490372085,Cub,https://www.aol.com/,0
1490372085,Notre,https://www.aol.com/,0
1490372085,Operating,https://www.aol.com/,0
1490372085,Scouts,https://www.aol.com/,0
1490372085,Striegel,https://www.aol.com/,0
1490372085,Systems,https://www.aol.com/,0
1490372085,Thain,https://www.aol.com/,0
