Time,Phrase,Site,Count
1490325575,CSE30341,https://www.nd.edu/,0
1490325575,Cub,https://www.nd.edu/,0
1490325575,Notre,https://www.nd.edu/,118
1490325575,Operating,https://www.nd.edu/,0
1490325575,Scouts,https://www.nd.edu/,0
1490325575,Striegel,https://www.nd.edu/,0
1490325575,Systems,https://www.nd.edu/,0
1490325575,Thain,https://www.nd.edu/,0
1490325576,CSE30341,http://www.cnn.com/,0
1490325576,Cub,http://www.cnn.com/,0
1490325576,Notre,http://www.cnn.com/,0
1490325576,Operating,http://www.cnn.com/,0
1490325576,Scouts,http://www.cnn.com/,0
1490325576,Striegel,http://www.cnn.com/,0
1490325576,Systems,http://www.cnn.com/,0
1490325576,Thain,http://www.cnn.com/,0
1490325576,CSE30341,http://www.example.com/,0
1490325576,Cub,http://www.example.com/,0
1490325576,Notre,http://www.example.com/,0
1490325576,Operating,http://www.example.com/,0
1490325576,Scouts,http://www.example.com/,0
1490325576,Striegel,http://www.example.com/,0
1490325576,Systems,http://www.example.com/,0
1490325576,Thain,http://www.example.com/,0
1490325578,CSE30341,https://www.aol.com/,0
1490325578,Cub,https://www.aol.com/,2
1490325578,Notre,https://www.aol.com/,0
1490325578,Operating,https://www.aol.com/,0
1490325578,Scouts,https://www.aol.com/,0
1490325578,Striegel,https://www.aol.com/,0
1490325578,Systems,https://www.aol.com/,0
1490325578,Thain,https://www.aol.com/,0
1490325579,CSE30341,https://www.yahoo.com/,0
1490325579,Cub,https://www.yahoo.com/,0
1490325579,Notre,https://www.yahoo.com/,5
1490325579,Operating,https://www.yahoo.com/,0
1490325579,Scouts,https://www.yahoo.com/,0
1490325579,Striegel,https://www.yahoo.com/,0
1490325579,Systems,https://www.yahoo.com/,0
1490325579,Thain,https://www.yahoo.com/,0
1490325581,CSE30341,http://www.espn.com/,0
1490325581,Cub,http://www.espn.com/,45
1490325581,Notre,http://www.espn.com/,1
1490325581,Operating,http://www.espn.com/,0
1490325581,Scouts,http://www.espn.com/,0
1490325581,Striegel,http://www.espn.com/,0
1490325581,Systems,http://www.espn.com/,0
1490325581,Thain,http://www.espn.com/,0
